WarehouseName,District,State,DistrictCSVpath
CW CHITYAL,Nizamabad,Telangana,data/Nizamabad.csv
CW CHOMU,Jaipur,Rajasthan,data/Jaipur.csv
CW CHOUDWAR,Cuttack,Odisha,data/Cuttack.csv
CW CHROMEPET,Chennai,Tamil Nadu,data/Chennai.csv
CW COIMBATORE,Coimbatore,Tamil Nadu,data/Coimbatore.csv
CW CUDDALORE,Cuddalore,Tamil Nadu,data/Cuddalore.csv
CW CUTTACK,Cuttack,Odisha,data/Cuttack.csv
CW DABASPETH,Nagpur,Maharashtra,data/Nagpur.csv
CW DARBHANGA,Darbhanga,Bihar,data/Darbhanga.csv
CW DARBHANGA II- Hired,Darbhanga,Bihar,data/Darbhanga.csv
CW DAVANGERE,Davanagere,Karnataka,data/Davanagere.csv
CW DEHRADUN,Dehradun,Uttarakhand,data/Dehradun.csv
CW DEVARAYAMZAL,Medchal-Malkajgiri,Telangana,data/Medchal-Malkajgiri.csv
CW DEVARAYAMZAL-II-HIRED CCI,Medchal-Malkajgiri,Telangana,data/Medchal-Malkajgiri.csv
CW DHAMTARI,Dhamtari,Chhattisgarh,data/Dhamtari.csv
CW DHARMABAD-HIRED,Nanded,Maharashtra,data/Nanded.csv
CW DHARMARAM-HIRED CCI,Karimnagar,Telangana,data/Karimnagar.csv
CW DHORAJI-HIRED,Rajkot,Gujarat,data/Rajkot.csv
CW DHUBRI,Dhubri,Assam,data/Dhubri.csv
CW DIMAPUR,Dimapur,Nagaland,data/Dimapur.csv
CW DISTRIPARK - CFS,Mumbai Suburban,Maharashtra,data/Mumbai Suburban.csv
CW DRONAGIRI NODE - CFS,Raigad,Maharashtra,data/Raigad.csv
CW DUGGIRALA,Guntur,Andhra Pradesh,data/Guntur.csv
CW ELIKATTA,Karimnagar,Telangana,data/Karimnagar.csv
CW ERODE,Erode,Tamil Nadu,data/Erode.csv
CW ETAWAH,Etawah,Uttar Pradesh,data/Etawah.csv
CW FATEHABAD,Fatehabad,Haryana,data/Fatehabad.csv
